Info 116  [22:7:58.475] DirectoryWatcher:: Triggered with /users/oyvind/documents/programming/projects/web/workout_tracker/workout_tracker_frontend/node_modules/.cache/babel-loader/8f659258860f61392a071001fcf90099.json :: WatchInfo: /users/oyvind/documents/programming/projects/web/workout_tracker/workout_tracker_frontend/node_modules 1 undefined Project:  WatchType: node_modules for closed script infos in them
Info 117  [22:7:58.475] Elapsed:: 0ms DirectoryWatcher:: Triggered with /users/oyvind/documents/programming/projects/web/workout_tracker/workout_tracker_frontend/node_modules/.cache/babel-loader/8f659258860f61392a071001fcf90099.json :: WatchInfo: /users/oyvind/documents/programming/projects/web/workout_tracker/workout_tracker_frontend/node_modules 1 undefined Project:  WatchType: node_modules for closed script infos in them
Info 118  [22:7:58.475] DirectoryWatcher:: Triggered with /Users/oyvind/Documents/programming/projects/web/workout_tracker/workout_tracker_frontend/node_modules/.cache/babel-loader/8f659258860f61392a071001fcf90099.json :: WatchInfo: /Users/oyvind/Documents/programming/projects/web/workout_tracker/workout_tracker_frontend/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 119  [22:7:58.475] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/oyvind/Documents/programming/projects/web/workout_tracker/workout_tracker_frontend/node_modules/.cache/babel-loader/8f659258860f61392a071001fcf90099.json :: WatchInfo: /Users/oyvind/Documents/programming/projects/web/workout_tracker/workout_tracker_frontend/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 120  [22:8:1.291] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 121  [22:8:1.300] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 26 structureChanged: false Elapsed: 9ms
Info 122  [22:8:1.300] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 123  [22:8:1.539] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 124  [22:8:1.544] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 27 structureChanged: false Elapsed: 5ms
Info 125  [22:8:1.544] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 126  [22:8:1.544] getCompletionData: Get current token: 0
Info 127  [22:8:1.544] getCompletionData: Is inside comment: 0
Info 128  [22:8:1.544] getCompletionData: Get previous token 1: 0
Info 129  [22:8:1.544] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 130  [22:8:1.549] getSymbolsFromOtherSourceFileExports: Using cached list
Info 131  [22:8:1.563] getCompletionData: Semantic work: 19
Info 132  [22:8:1.570] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 6
Info 133  [22:8:1.652] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 134  [22:8:1.658] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 28 structureChanged: false Elapsed: 6ms
Info 135  [22:8:1.658] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 136  [22:8:1.659] getCompletionData: Get current token: 0
Info 137  [22:8:1.659] getCompletionData: Is inside comment: 0
Info 138  [22:8:1.659] getCompletionData: Get previous token 1: 0
Info 139  [22:8:1.659] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 140  [22:8:1.661] getSymbolsFromOtherSourceFileExports: Using cached list
Info 141  [22:8:1.677] getCompletionData: Semantic work: 17
Info 142  [22:8:1.683] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 6
